Left,4,4,3,1
Right,3,1,5,4
Left,5,5,4,4
Right,1,5,5,3
Right,1,2,1,5
Left,4,3,1,2
Right,1,5,4,2
Right,1,5,2,5
Left,4,2,3,2
Right,1,2,1,4
Right,1,4,4,2
Balanced,5,1,5,1
Left,1,4,1,3
Right,3,2,5,3
Left,4,5,1,1
Right,2,4,5,5
Left,4,5,5,1
Left,5,3,3,4
Right,1,5,5,2
Right,2,3,4,5
Left,2,5,1,2
Left,3,4,5,2
Left,3,3,2,3
Right,2,3,5,5
Right,1,2,4,3
Balanced,2,4,4,2
Right,1,1,2,1
Right,4,4,5,5
Right,5,1,3,2
Left,4,4,2,5
Right,1,5,2,3
Right,1,2,5,1
Right,5,1,3,4
Left,3,2,1,5
Right,2,1,2,3
Left,3,2,4,1
Right,1,3,2,3
Right,2,4,3,4
Left,5,4,1,4
Left,4,5,3,1
Right,2,2,3,5
Right,2,5,3,5
Right,1,2,5,4
Left,1,5,1,2
Right,4,2,3,5
Left,3,4,3,1
Right,4,2,5,3
Left,2,3,3,1
Balanced,1,3,1,3
Right,5,1,4,5
Left,4,5,3,2
Left,4,3,1,5
Left,2,3,2,2
Left,3,4,2,4
Left,3,5,1,4
Left,3,5,1,5
Right,1,3,2,2
Right,2,1,4,5
Right,4,1,4,2
Left,2,2,1,3
Left,3,5,1,3
Right,1,1,4,3
Right,2,2,5,3
Left,4,5,3,3
Left,5,3,1,3
Left,2,1,1,1
Right,3,2,5,4
Left,3,3,3,2
Right,1,4,1,5
Left,3,4,4,1
Right,1,4,4,5
Left,5,3,4,1
Right,3,3,5,5
Left,3,4,1,4
Right,2,5,5,5
Right,4,1,3,2
Left,4,3,5,2
Left,4,5,1,2
Right,1,2,3,3
Right,5,4,5,5
Left,5,4,1,5
Right,2,3,3,4
Left,5,2,1,4
Left,5,5,5,3
Left,5,3,2,5
Right,5,2,5,5
Left,4,4,5,3
Right,1,3,3,4
Balanced,1,3,3,1
Right,3,5,5,4
Left,4,5,1,4
Right,3,1,2,2
Left,3,4,1,2
Left,2,2,1,1
Left,3,5,2,5
Right,3,2,4,5
Right,5,3,5,4
Right,4,2,5,4
Left,5,5,2,2
Right,5,3,5,5
Left,3,5,3,4
Left,5,4,4,2
Left,5,2,4,2
Right,3,4,5,3
Right,2,1,3,4
Left,4,3,3,2
Left,5,2,4,1
Right,4,1,5,4
Left,2,5,1,4
Left,5,5,1,1
Right,2,2,3,4
Left,5,4,1,3
Right,2,3,5,4
Left,3,4,2,1
Balanced,3,2,2,3
Left,5,3,3,2
Left,5,1,2,1
Left,5,4,4,1
Right,1,5,3,3
Left,5,5,3,3
Right,2,2,1,5
Left,3,2,1,2
Balanced,2,5,5,2
Right,5,2,4,4
Left,5,5,3,5
Left,4,4,4,3
Left,4,2,5,1
Left,4,5,1,5
Right,1,3,1,5
Right,2,4,3,5
Right,2,3,2,5
Left,5,5,2,3
Right,1,3,5,2
Right,2,1,1,3
Right,1,1,4,5
Left,5,5,3,4
Left,2,5,4,1
Right,3,4,3,5
Left,5,5,1,4
Right,2,3,4,2
Right,2,5,5,4
Right,2,2,5,2
Right,2,2,4,5
Left,4,3,3,1
Left,4,3,2,3
Left,3,5,3,2
Right,4,1,4,4
Left,5,4,3,4
Left,5,3,3,3
Left,5,4,1,2
Left,4,4,4,1
Right,2,2,4,2
Left,3,2,1,4
Left,5,3,2,4
Right,3,3,5,3
Left,5,5,1,2
Right,1,4,3,2
Right,4,1,2,3
Left,2,5,2,4
Left,4,3,1,4
Right,2,2,2,4
Left,5,5,2,4
Left,3,5,3,3
Right,1,2,4,4
Left,4,4,1,2
Right,5,1,2,3
Left,3,5,2,4
Left,5,4,2,5
Right,2,3,2,4
Right,1,1,1,2
Balanced,5,4,5,4
Left,2,4,1,3
Right,4,3,5,4
Left,4,3,1,3
Left,4,1,2,1
Right,1,1,5,1
Left,4,2,2,3
Right,3,2,3,4
Left,2,5,3,2
Right,1,2,2,3
Balanced,4,1,2,2
Right,3,2,2,5
Left,1,5,3,1
Left,2,3,1,5
Right,4,2,3,4
Balanced,1,2,2,1
Right,1,1,2,2
Right,2,3,4,4
Right,1,2,4,5
Left,3,1,1,1
Left,3,4,1,1
Left,3,5,5,1
Left,5,5,2,5
Left,5,2,3,3
